S_i,A_i
85335,21280
22960,34738
32778,25588
35170,64616
85819,91697
2718,88692
63127,61795
68078,60476
46992,98442
44552,7955
91764,40831
79407,75337
32105,57499
53959,56455
1390,21864
63741,30233
33637,98148
39542,20962
21585,33205
32669,53434
18061,49664
88622,15343
76855,65440
19179,49642
92351,91420
98722,24029
5726,7477
35275,40459
72050,35845
89779,50209
14839,24817
17371,76578
89093,62691
11561,78868
29786,6461
74167,46956
27819,61682
61847,19059
94631,75384
42937,72549
96352,329
58738,85934
70324,19883
46821,20865
10397,57233
14143,35938
86945,13456
1455,30850
64626,75937
92332,10027
91126,39990
75602,86182
68450,41019
41229,82598
22259,40479
3321,8003
17930,75989
58756,17848
83140,9182
41361,86920
22163,21426
92542,11650
34914,26167
15718,12478
13534,86309
36139,93026
25370,27560
63145,31846
36849,4099
40160,74307
11796,30530
32370,58771
99013,31471
33572,90357
39001,70303
52283,17565
22253,32131
23893,92108
27063,95691
75478,91503
37485,65229
56875,15808
57449,11841
70092,78594
26428,83416
37584,32770
55398,59238
32350,92432
38869,4859
15225,7924
77373,82480
91314,4640
34668,5883
35651,88998
30540,479
53538,18018
73734,27350
7708,37617
99192,24626
94675,70345
18491,99642
87839,89976
98238,97107
19451,58607
49685,4228
10752,8353
9652,780
63404,51836
97238,58890
32379,32856
60051,22888
95532,13544
15135,78773
81363,44554
77457,86903
93709,49657
79940,50198
29506,92591
15509,64914
37522,16539
15010,97313
31723,26536
10884,57254
45442,77583
61271,45476
27904,90903
691,15209
52596,97202
37417,75258
64443,32160
46439,71358
64347,38277
74144,98433
75512,70253
83286,98058
75867,46437
37209,52910
72741,1052
40160,7556
82113,94264
65597,79024
25275,33677
72485,93655
38986,94267
2811,85706
86215,44654
94669,58875
61657,54561
58657,43137
89576,24290
96042,30970
41032,27987
52601,34446
13735,11191
65598,12381
93772,2813
81032,81067
99942,85553
30212,33803
95721,72964
47209,34486
77559,7614
12269,72449
33348,56089
20438,63695
24879,32257
26667,42801
74694,6494
53733,64417
14833,94629
18121,90440
79512,96597
65487,26112
45280,42168
59951,52719
69376,65864
9760,23265
80457,71085
47323,84351
99006,29809
50610,42501
62115,52190
51290,7852
30794,39500
86864,92402
61606,23482
70849,25298
82188,1982
6956,37688
52638,13448
71728,58399
40728,4276
95989,7524
89406,77132
87731,64646
4016,76058
7772,11879
6073,87887
27425,7889
95257,79055
1550,28078
38261,29346
5725,49836
44464,36940
99754,23958
63380,99209
11986,12997
2206,29721
68437,8148
58080,89200
64537,29425
7200,61623
2592,30650
46721,82037
20934,86146
31348,17330
44385,51175
97473,54571
6852,44751
97735,18968
70507,35851
92485,73338
71952,85059
6571,56093
75823,17045
91295,53731
77182,32541
10279,87339
68039,50557
60052,79641
73391,61505
37737,63873
12264,79541
87179,71761
61567,48789
48146,17535
95238,9217
1420,59805
47592,16648
74908,41402
92158,82060
5528,68196
66156,74434
33567,58756
48757,58947
11462,75429
37419,27551
24030,91734
1360,33423
82533,33026
58153,66017
25597,79880
20750,4077
54898,39525
87251,99377
36464,46635
81399,78612
66542,77591
8838,66103
26321,64128
99054,49849
25801,91462
27311,58097
9152,60357
67719,42963
26578,40602
15812,20840
30670,93275
12566,17852
87339,53803
20226,93776
42214,71709
99190,85989
40557,10176
88057,15130
28556,48908
49834,95460
95978,24982
67489,86138
36436,44123
69730,72040
49752,74404
79147,35343
33542,28634
11999,57972
40652,2547
68454,34356
40002,89336
76736,1378
72119,34755
37344,52760
22383,66239
20669,97225
50217,3625
38093,80618
99404,46068
64293,25919
58504,83828
70486,19868
50355,11162
91297,92279
6987,28828
89791,72595
76895,48565
81073,38238
70592,57098
48253,10543
87692,28308
10765,17143
41642,18732
11811,11815
10562,35283
40422,15093
30540,45289
21271,86567
96270,87902
98335,93206
18918,18033
31221,66504
16400,74816
31372,96111
90961,13355
19853,66116
75707,24532
7159,73827
18468,27548
95153,82193
4483,78315
83206,52524
35943,13468
2497,43465
90996,61043
47198,15227
16967,81153
902,96655
25729,41305
69828,73424
77559,28892
77715,54373
7436,46162
61076,69545
61833,92268
48696,4403
70297,13908
18642,59461
86635,77990
86976,40963
72019,29408
47429,88232
29508,10614
1443,37847
81636,64583
72229,95320
73517,77445
47591,40852
72127,5264
99725,76227
90253,41798
36123,23740
64312,72959
13996,43567
37234,28912
98737,39910
12741,18156
5440,39769
58161,35094
43799,45730
49153,1265
81613,44079
95256,62769
19030,78399
91878,65202
26719,9774
39487,32995
37078,8443
54544,70073
30717,56348
72789,65549
87581,49021
27190,9647
65989,39909
3974,70392
58207,90800
98013,97557
28315,90953
38362,93690
8767,12087
41342,1649
45309,86140
72124,2366
6261,41319
90515,30548
24353,79786
90372,79855
27958,85494
169,10568
65209,60836
87273,94794
80270,33986
95742,14403
41172,612
64802,46517
8221,51067
9644,85692
99761,63296
11359,96051
9862,97425
9417,419
71481,20936
41890,36577
7175,69452
59717,64394
2454,79387
72550,92162
40263,24063
96862,58097
62111,47182
96348,55413
79258,77433
57158,66323
31170,45359
91001,70703
64939,77553
39868,58017
92318,77335
