S_i,A_i
893,3281
3883,1652
3621,2143
4950,4063
3531,1445
1402,367
1435,778
2721,2202
2504,1058
1985,4353
4979,1920
2188,3640
2717,4419
2221,1688
3815,2290
28,1028
3996,4460
135,3111
1038,175
4920,1157
1346,3610
2759,826
2967,4559
2768,2942
1226,1790
440,2120
2893,895
2062,1322
2456,3318
4687,3570
1712,3930
788,305
4750,4794
4996,3282
2231,737
1374,2103
4806,2992
3184,4415
4397,606
4882,521
1008,875
1151,4753
634,4842
3685,2183
1190,3509
2216,944
580,727
3704,1117
1703,2080
3469,3204
133,1911
4267,50
4654,236
1003,1923
822,4054
867,4279
3920,737
4348,457
1893,3408
1710,609
1841,2169
3680,4970
1253,871
4688,353
1810,1190
4233,4038
927,3942
658,4195
2562,3188
273,3113
3860,943
2249,4362
4295,548
2989,1907
1505,261
836,242
3841,1879
2971,2921
4213,1601
632,199
3576,1231
697,1319
4202,4109
4880,922
3382,4843
2452,297
2063,4676
3079,1969
3388,2726
190,4427
4104,1290
54,1695
804,946
4514,3455
75,4947
508,4759
921,3312
3195,3163
3552,2799
454,4569
3000,3314
1167,2065
2683,2754
2758,1611
4240,717
421,297
2189,1257
4658,4155
2971,3255
2585,4498
2952,774
2001,3878
3970,1317
4012,2656
2074,2907
4297,659
2315,1883
52,1195
1579,2349
2860,4986
4856,4660
1276,3975
2233,3290
3463,1406
854,3354
3898,4373
2598,2904
2700,3657
3422,48
2704,4133
3878,4531
945,3711
3179,1748
4965,69
1252,4949
3200,2255
276,4222
1036,776
4175,2292
4693,3028
4380,305
3306,2211
2739,4891
4791,3505
1899,762
4373,4298
4009,939
4349,3875
4883,4335
4190,1460
1563,2848
926,4822
3580,162
4664,3040
4146,3182
498,2727
137,2735
2904,4133
778,2452
3742,4737
853,1274
1507,3027
941,2741
3909,2791
1782,4193
340,4792
948,2950
4421,4215
2209,4659
508,1085
4322,4834
784,499
2105,817
895,380
4908,3809
4990,1396
4814,1619
3223,1304
2620,4586
2453,263
2394,144
4754,1661
2036,3604
1682,1430
3139,275
4553,85
4163,1447
4388,3620
1482,1655
4392,4559
3021,3297
2704,3308
3437,3015
2430,4346
3475,1132
488,1060
3111,1781
3112,4967
2754,4248
322,99
99,2071
4510,4905
751,3332
4571,2918
4519,2534
513,3406
2844,949
675,3552
1607,1651
833,4618
3801,2011
1855,395
4152,3294
4174,1979
3956,4040
3622,419
2457,1531
2867,998
4655,4818
2804,1429
4786,434
1949,223
3418,4974
2989,3450
2432,3021
4916,4042
2500,929
2560,2652
868,4337
4027,1789
3238,2983
879,3060
4203,2845
2326,1954
2391,2759
4784,1456
110,1262
869,2013
2401,4563
1246,452
1417,2297
3449,1787
1619,4101
1949,1481
4208,477
1503,4526
3829,1740
2650,1902
4923,2098
1008,866
3624,1928
3607,604
3779,4458
2501,2959
4270,4016
2813,4509
3141,1450
4556,2685
3887,2222
1597,1728
781,905
3399,2292
3674,4387
4855,3272
554,465
2740,1539
3491,174
4006,2327
1557,1947
4732,4443
4786,4632
4375,308
45,3827
2828,398
2452,1947
1826,794
2999,4651
4700,4512
4100,3893
50,2180
3328,1046
4375,547
2702,4944
2048,1746
3096,4133
4126,1795
373,939
888,3362
62,3385
2292,684
3149,3169
4180,667
2017,2815
4004,3508
1957,587
932,4653
3608,4826
1394,982
4125,2026
705,3336
308,4162
4397,3818
2461,2946
1978,2832
682,4284
3690,4530
3490,1756
4253,2774
4387,2342
3731,3783
1138,3295
3706,4758
2825,361
1779,2627
2827,4202
4592,344
2768,1790
1598,1331
2612,2734
4061,2847
4991,3932
2554,4476
4459,3978
3216,4923
3635,354
2507,1504
1466,328
1314,2485
2299,2741
4281,445
1404,1808
4024,278
1067,2205
249,1189
2128,921
4162,3957
4697,4412
3964,4138
2664,4827
1248,4296
3197,4572
3560,4043
942,2084
4707,641
3535,4798
3232,4563
126,727
2984,4706
4559,4576
2673,824
26,578
836,4376
2223,1221
2951,1513
3474,2280
160,2579
598,3976
2726,4245
4616,1109
569,5000
830,3888
3002,4742
2935,1216
884,2307
3209,1238
422,4980
4079,2811
4950,837
3641,3904
3347,3442
2547,309
426,3640
1067,253
1714,1370
1251,2805
4415,3034
3657,1264
4358,1285
4213,2622
3981,843
1155,944
2764,3844
4351,2889
3045,417
2500,4323
3229,4497
432,2381
4468,3722
2789,198
4982,2382
1077,888
3158,4744
1420,586
3736,3866
3159,3705
4937,3606
4020,684
3962,2695
4936,1940
268,228
3131,985
3734,4077
4395,4995
2301,2505
2091,3022
715,3946
299,1799
501,1660
3200,4180
3980,1827
2006,4888
623,876
2724,4547
2069,1666
358,935
1891,516
1999,2292
4530,3911
2338,1479
1071,4040
2232,4783
4982,1766
2681,1189
2465,960
2378,1866
4828,4289
2217,157
954,201
2499,4584
4265,83
3705,2502
2202,4343
4099,452
917,1470
3771,3464
1904,3683
4120,3201
1416,4529
1281,2599
239,2443
1123,2223
569,2505
2911,1490
4777,4669
4818,4781
685,2087
1539,63
496,2208
254,3340
1539,4277
4474,3412
4840,4141
2526,3616
2627,4713
2802,715
4196,3227
2780,3100
900,2068
178,1548
2673,2230
2156,205
3316,225
169,2760
1742,1505
2921,4568
4846,3849
2430,4395
3275,4048
562,1328
598,61
3423,4333
1725,3021
3811,3710
2005,4817
3591,4546
1725,2125
695,1521
3643,428
4262,1987
2397,2899
3908,1737
59,3669
848,856
477,1286
2685,1188
4903,3199
2811,3685
1793,4600
3668,1912
1601,2435
593,3679
1275,75
2896,328
2087,3114
2985,3627
4476,2239
3165,3215
3101,1180
3610,844
1677,522
1111,2307
389,887
1879,1498
3250,2821
2010,3651
1931,1853
4631,3681
4377,3009
417,2033
3598,2968
1480,1978
2000,2864
3044,2147
4998,1512
341,4205
3114,3799
2686,286
962,4971
1955,1604
2488,2491
1765,3525
3034,4609
913,2664
1806,1283
4072,3452
1668,2628
3584,4228
2876,635
2233,1101
1752,3954
437,2259
4121,2777
3032,827
1561,848
1817,4336
2097,1813
3349,3119
604,620
1593,2948
4173,4458
4518,2241
2934,4042
3818,2623
205,1355
4867,3717
2879,4465
4936,61
505,631
932,602
4396,841
4683,2742
238,2966
1402,4435
2749,4579
4810,1875
358,4382
1280,829
96,3586
4719,575
329,4146
3920,4046
4815,4531
351,4592
4096,2435
2757,3338
1994,2252
3842,1953
3646,1371
4513,1963
499,301
4696,1722
309,3433
1761,1885
4570,3073
855,3516
421,1266
1262,1201
3692,2230
1263,721
3876,4535
1497,3836
3618,598
471,2915
214,651
4554,1891
1385,2902
2590,743
1248,667
1677,4472
1766,391
4160,2038
1843,1591
1759,2344
3539,1181
1416,3350
2059,1162
2073,88
278,864
3961,2287
1387,2968
817,2307
2146,3935
1957,4499
1643,1822
1741,3276
3897,329
3652,3493
1329,4240
147,4870
4752,2839
3340,156
2798,1121
2533,2559
81,4600
2418,4080
3632,892
146,303
1176,3643
2790,4058
4571,4960
4392,3389
4427,3946
4072,4466
981,988
3554,2303
407,1029
2501,4439
1583,4176
4657,3572
3108,2723
1576,3233
3870,3278
1764,407
3658,1347
4442,3708
1060,3814
2911,3727
1775,873
4562,1458
878,1626
609,1835
2045,4576
3108,489
3680,4659
1289,3998
2322,3311
1130,1304
1346,1109
2682,2211
2469,3075
2021,3299
1602,1114
3107,3369
4631,841
4923,3952
3171,4660
3221,1614
1608,28
1491,2360
755,2573
4594,2119
2214,4827
3544,3755
4816,2111
4378,2551
3706,873
3293,4074
3048,3173
4689,2351
4181,2971
3491,2509
4595,2048
160,4867
4152,4126
4916,444
4508,668
2673,2615
428,3109
2405,484
1649,1764
2906,3143
1341,3504
2309,390
4364,2890
4665,2785
2614,742
2450,4920
3003,3728
1133,1302
4599,822
3102,284
2659,3437
375,2658
1143,3148
3668,652
3412,4845
3775,3754
4521,580
4884,4072
3196,3731
1801,998
2496,4496
759,1278
2170,4008
4841,3056
3490,331
2657,147
1267,380
3247,2756
518,2583
3707,1143
206,1473
2061,928
224,2873
1759,3094
1235,3543
1664,4857
3186,2034
4570,2668
3525,4925
357,2970
1732,3094
1262,2832
3387,3255
3030,2306
4275,864
4809,445
894,885
3923,403
3878,4357
1029,860
877,3910
3444,2240
1970,4821
4860,3554
267,3245
3837,2926
1142,2164
3805,2962
170,3938
575,1430
3654,1369
2902,4456
4473,3901
878,1987
1119,1425
4210,3883
2897,2050
1235,4229
4753,218
187,3038
3239,3839
2482,562
4254,1170
4610,2452
1696,321
2682,306
2282,2224
4425,1669
4637,536
3860,1557
366,180
4585,3223
2653,3960
4475,3802
4730,4031
433,2289
793,2589
3880,2075
1087,4719
2170,1681
1211,623
2930,4973
3450,3434
4400,1197
4646,1497
3962,1736
420,3957
2042,1963
3673,259
3966,1724
2312,4584
2650,3426
3953,2719
4388,2520
4643,4868
30,462
4845,3913
2104,4842
4842,1799
3615,2831
3665,4630
1277,4030
470,4144
3063,3017
1564,621
3118,3229
2852,463
2385,1878
2441,2216
4419,2382
3283,3571
907,880
3646,3778
731,3338
1241,1940
457,1503
2303,4183
1272,4692
4114,761
1736,1498
362,1052
4045,1204
2928,3934
2756,1356
1486,3345
1451,2562
2595,2421
4352,1828
970,2594
1419,1145
4664,1761
307,903
786,4003
4913,3138
4389,2965
791,2452
2862,493
4484,2928
2165,638
1148,2375
4487,3528
3548,4591
435,478
895,2782
3274,1938
945,2191
1736,3783
3783,151
842,2517
1771,4201
4856,1297
119,2482
2417,3306
1663,2612
4389,2730
1048,745
736,428
1005,4049
4928,4803
1377,450
3762,3922
316,2878
4006,3918
1210,3845
3065,1569
1797,1762
2714,3440
2990,3697
1599,1249
4817,2502
3196,236
996,1228
4201,4384
2133,2802
1513,4836
3194,4768
1893,1855
4101,2149
4085,1475
3496,4801
3924,405
3881,1489
3757,87
4473,3976
1977,1681
1537,4379
686,3081
4974,3907
2927,489
3670,4596
1876,4209
4315,3426
2828,2850
4589,4976
940,1681
2687,2454
3262,3306
2817,1209
1139,4257
4650,3768
2801,1836
2029,3312
4598,4553
3476,505
547,385
1341,2781
3262,4862
4311,1367
4819,3594
3470,4682
4984,3636
732,2321
3554,4234
4704,4382
4999,3234
1611,1065
3824,3790
2762,2221
134,2690
3021,2938
