S_i,A_i
8,251
6,294
7,243
5,209
8,217
10,228
8,207
9,285
7,201
10,286
2,246
8,261
3,245
3,210
5,285
7,200
6,274
10,258
8,261
6,226
4,290
10,283
10,265
3,281
10,242
9,299
3,292
1,224
9,280
9,250
7,233
3,293
8,254
1,252
3,279
1,290
4,287
6,218
6,209
10,214
7,218
5,264
5,274
10,207
5,286
8,229
1,213
1,296
8,216
2,271
9,252
1,208
7,200
1,231
5,245
7,206
7,216
9,267
5,253
7,251
5,243
3,242
8,216
6,224
9,206
1,200
9,298
6,232
10,264
9,284
9,214
1,215
6,269
10,250
7,219
3,233
4,212
9,260
2,287
9,281
8,205
2,236
3,269
1,235
8,245
10,299
4,234
10,225
4,230
2,206
5,290
1,258
6,262
6,275
8,204
6,216
5,253
3,288
7,222
9,259
2,266
7,281
4,230
3,268
2,275
1,241
4,226
3,240
1,211
6,268
1,252
8,234
1,281
8,236
6,271
6,217
4,238
1,262
8,267
1,299
5,243
1,202
7,287
9,273
5,267
10,236
7,258
3,233
8,200
6,214
10,213
3,212
7,299
5,251
5,220
5,287
9,256
1,239
1,266
2,259
9,293
3,233
3,205
7,204
4,221
7,256
3,224
10,291
8,287
1,249
5,272
2,244
2,220
9,249
4,295
6,227
10,217
5,282
3,236
3,284
6,277
4,282
10,263
8,246
9,279
9,205
10,229
10,223
6,202
8,206
9,288
10,264
7,202
4,205
6,270
1,215
4,226
8,229
8,205
8,224
4,239
2,252
3,299
9,270
6,287
8,233
2,225
8,298
8,225
5,268
1,246
9,247
5,283
4,267
4,212
5,211
5,262
3,279
5,209
1,224
6,208
9,293
6,243
6,289
5,279
1,247
3,270
2,297
4,262
3,277
5,249
9,209
2,287
7,240
4,240
5,297
9,212
2,278
10,219
9,270
3,271
3,216
2,220
9,217
7,224
3,227
7,247
5,246
5,283
1,239
1,275
4,260
1,264
5,287
8,288
5,281
5,204
9,282
3,207
3,290
6,212
4,245
2,228
1,251
7,262
7,225
2,200
9,230
8,266
7,267
5,215
10,298
10,231
8,204
5,281
4,279
4,203
6,222
6,291
2,243
7,226
5,241
1,208
1,271
6,286
3,200
2,234
3,288
9,238
10,270
9,277
8,266
9,271
7,206
1,251
8,261
5,270
4,232
8,273
3,257
9,222
3,298
1,286
8,247
10,202
8,221
8,263
6,240
7,210
8,200
2,202
3,266
2,249
7,209
8,260
6,233
9,295
8,242
2,256
3,236
4,211
9,201
3,292
2,266
2,266
5,258
8,285
9,234
1,229
1,253
4,236
4,299
10,264
9,236
8,257
7,237
4,271
8,216
7,210
4,241
10,270
7,253
4,211
7,232
10,233
1,205
1,292
1,265
4,243
6,244
3,229
8,235
1,231
3,269
4,299
4,225
4,257
10,200
8,264
4,239
1,223
1,200
1,292
10,280
8,237
6,263
3,295
5,226
8,239
7,265
2,278
9,225
5,259
3,202
1,274
4,211
7,254
6,284
2,254
1,262
9,284
6,231
10,206
4,231
3,294
4,215
7,206
3,209
4,271
10,279
10,281
1,226
4,297
6,239
10,246
10,262
10,293
7,212
1,272
8,203
2,211
4,203
10,210
7,225
5,291
1,229
3,256
8,278
8,232
8,233
7,277
8,221
6,245
3,287
3,202
2,227
5,204
9,229
5,232
7,259
3,260
9,296
4,290
6,202
2,261
1,273
9,238
6,268
10,224
1,200
10,291
6,281
7,242
4,224
7,263
2,249
3,248
6,274
3,255
9,260
4,213
1,290
6,244
10,300
6,232
2,277
9,264
1,220
1,239
6,219
1,256
2,245
9,295
8,290
9,214
6,288
6,230
10,242
9,283
10,286
7,227
3,265
7,221
8,274
9,203
8,296
3,232
2,283
10,236
8,266
5,216
6,258
5,277
8,290
6,268
10,293
1,231
3,244
5,266
9,286
6,272
2,245
9,200
2,213
7,219
2,271
8,267
9,270
2,256
6,208
3,296
9,286
6,263
3,287
8,279
5,279
8,262
10,292
1,212
7,271
2,272
10,224
9,204
10,254
10,240
3,296
5,238
3,215
5,244
3,204
3,253
7,298
2,256
9,250
6,222
9,218
10,218
4,222
9,226
10,208
4,241
1,290
4,203
5,274
2,267
5,241
5,232
9,238
3,229
6,291
4,267
2,293
1,280
2,270
7,246
10,277
8,237
3,279
3,231
10,274
4,227
10,223
4,249
1,228
3,235
9,228
7,229
3,248
8,207
4,228
1,270
8,268
1,300
10,208
8,235
10,266
8,246
4,253
10,272
8,247
5,243
5,248
2,236
4,245
2,264
8,202
3,265
1,237
2,249
8,232
6,253
1,260
3,265
2,212
1,283
3,222
10,246
9,238
6,298
10,202
7,242
1,275
1,237
6,261
9,253
10,220
2,264
4,217
4,233
8,205
1,212
7,239
5,219
6,278
4,244
5,238
9,221
4,209
5,263
5,282
8,216
4,202
2,234
7,251
6,200
6,257
2,297
4,241
2,203
10,290
7,214
9,285
10,259
1,284
2,233
2,223
10,264
1,253
3,249
8,204
10,245
1,296
7,264
9,230
6,248
10,241
5,257
3,280
10,290
3,247
8,295
10,215
2,212
5,234
7,287
4,229
1,272
9,256
2,257
4,248
6,297
7,273
10,296
6,264
9,292
7,220
7,294
1,223
8,281
1,275
1,271
7,227
3,216
8,263
2,265
1,299
5,209
10,230
5,254
7,205
7,224
8,286
10,205
5,277
7,296
2,286
5,220
1,204
5,300
1,277
5,209
5,274
4,270
1,272
8,226
1,235
6,208
9,259
4,263
7,224
2,246
10,261
1,278
5,291
9,221
3,219
5,200
2,281
5,253
5,207
3,237
9,226
8,202
8,267
10,281
10,262
3,201
4,242
6,204
5,255
9,203
8,297
6,203
3,244
10,226
1,218
10,283
5,298
2,221
6,240
4,279
1,239
4,201
7,297
10,211
10,286
1,290
7,274
3,204
5,269
10,207
9,266
8,279
7,267
9,299
4,239
4,277
7,202
6,292
10,209
4,276
8,227
3,232
4,260
1,240
3,274
6,239
4,269
5,219
3,295
1,258
6,298
9,220
10,222
5,212
2,273
8,281
1,252
6,227
6,215
3,229
10,209
8,236
6,241
3,298
2,268
3,240
6,234
2,204
5,220
3,238
8,200
5,277
5,207
4,242
4,264
4,204
9,281
3,230
9,246
8,276
8,245
8,261
8,242
10,292
6,275
10,300
3,225
1,251
10,241
9,237
5,240
7,276
5,285
8,224
1,210
7,219
4,225
8,237
9,201
4,284
7,232
1,300
6,254
2,240
10,252
2,229
9,283
5,217
4,263
9,235
10,272
7,205
4,270
8,246
1,278
9,218
8,222
4,222
10,248
3,243
3,264
6,269
10,235
2,227
1,287
8,260
10,235
4,258
2,210
4,297
5,298
10,232
10,225
4,240
2,270
5,221
3,260
9,242
1,205
7,234
5,261
9,288
3,266
10,247
5,299
